,id,name,_OS_CREATED_AT,OS_MERCHANT,OS_HANDLE,INFLUENCER_HANDLE,CODE
9,130,Jewellery & Watches,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,whatkaliwears,1662645493
0,33,Activewear,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,whatkaliwears,1662975103
1,13,"Clothes, Shoes, Handbags & Accessories",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,whatkaliwears,1662975103
2,7,Shopping & Retail,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,whatkaliwears,1662975103
3,190,"Toys, Children & Baby",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,whatkaliwears,1662975103
4,1560,"Home Decor, Furniture & Garden",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,whatkaliwears,1662975103
5,80,Beauty & Cosmetics,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,whatkaliwears,1662975103
6,21,Sports,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,whatkaliwears,1662975103
7,43,"Travel, Tourism & Aviation",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,whatkaliwears,1662975103
8,11,Camera & Photography,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,whatkaliwears,1662975103
9,130,Jewellery & Watches,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,whatkaliwears,1662975103
0,33,Activewear,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,whatkaliwears,1664431913
1,13,"Clothes, Shoes, Handbags & Accessories",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,whatkaliwears,1664431913
2,7,Shopping & Retail,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,whatkaliwears,1664431913
3,190,"Toys, Children & Baby",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,whatkaliwears,1664431913
4,1560,"Home Decor, Furniture & Garden",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,whatkaliwears,1664431913
5,80,Beauty & Cosmetics,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,whatkaliwears,1664431913
6,21,Sports,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,whatkaliwears,1664431913
7,43,"Travel, Tourism & Aviation",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,whatkaliwears,1664431913
