,_OS_CREATED_AT,OS_MERCHANT,OS_HANDLE,INFLUENCER_HANDLE,CODE,notable_users_ratio,audience_credibility,credibility_class
25,2022-10-21 11:05:17.701729,Necklow,necklowco,patrianasonia,1664431880,0.3875,0.7916,bad
26,2022-10-21 11:05:17.701729,Necklow,necklowco,patrianasonia,1662974824,0.388,0.7936,bad
27,2022-10-21 11:05:17.701729,Necklow,necklowco,gyda.bell,1664431445,0.0391,0.2502,bad
28,2022-10-21 11:05:17.701729,Necklow,necklowco,gyda.bell,1662974787,0.0368,0.2428,bad
29,2022-10-21 11:05:17.701729,Necklow,necklowco,gyda.bell,1662645366,0.037,0.2466,bad
30,2022-10-21 11:05:17.701729,Necklow,necklowco,big1500_,1664431675,0.436572,0.674601,bad
31,2022-10-21 11:05:17.701729,Necklow,necklowco,big1500_,1662975183,0.436572,0.674601,bad
32,2022-10-21 11:05:17.701729,Necklow,necklowco,big1500_,1662645393,0.436572,0.674601,bad
33,2022-10-21 11:05:17.701729,Necklow,necklowco,e_l_d,1662974754,0.2321,0.7191,bad
34,2022-10-21 11:05:17.701729,Necklow,necklowco,e_l_d,1664431439,0.2328,0.7183,bad
35,2022-10-21 11:05:17.701729,Necklow,necklowco,e_l_d,1662645720,0.2324,0.7189,bad
36,2022-10-21 11:05:17.701729,Necklow,necklowco,peedi_c,1662645841,0.3093,0.5839,bad
37,2022-10-21 11:05:17.701729,Necklow,necklowco,peedi_c,1664431677,0.3103,0.581,bad
38,2022-10-21 11:05:17.701729,Necklow,necklowco,peedi_c,1662974792,0.3074,0.5811,bad
39,2022-10-21 11:05:17.701729,Necklow,necklowco,itsambaslife,1664431429,0.1644,0.8755,normal
40,2022-10-21 11:05:17.701729,Necklow,necklowco,itsambaslife,1662645508,0.1598,0.8765,normal
41,2022-10-21 11:05:17.701729,Necklow,necklowco,itsambaslife,1662974784,0.1619,0.8779,normal
42,2022-10-21 11:05:17.701729,Necklow,necklowco,imara.grant,1662645451,0.47,0.7317,bad
43,2022-10-21 11:05:17.701729,Necklow,necklowco,imara.grant,1662974788,0.4687,0.7347,bad
44,2022-10-21 11:05:17.701729,Necklow,necklowco,imara.grant,1664431627,0.4685,0.7298,bad
45,2022-10-21 11:05:17.701729,Necklow,necklowco,kimberlie.kathleen,1664431905,0.5507,0.719,bad
46,2022-10-21 11:05:17.701729,Necklow,necklowco,kimberlie.kathleen,1662975034,0.5513,0.7237,bad
47,2022-10-21 11:05:17.701729,Necklow,necklowco,kimberlie.kathleen,1662645716,0.5484,0.7194,bad
48,2022-10-21 11:05:17.701729,Necklow,necklowco,cecilialhoward,1662974758,0.2028,0.4838,bad
49,2022-10-21 11:05:17.701729,Necklow,necklowco,cecilialhoward,1662646371,0.2063,0.4846,bad
50,2022-10-21 11:05:17.701729,Necklow,necklowco,cecilialhoward,1664431801,0.2073,0.4832,bad
51,2022-10-21 11:05:17.701729,Necklow,necklowco,txylorwillixms,1662974786,0.225734,0.805425,low
52,2022-10-21 11:05:17.701729,Necklow,necklowco,txylorwillixms,1664431437,0.225734,0.805425,low
53,2022-10-21 11:05:17.701729,Necklow,necklowco,txylorwillixms,1662645784,0.225734,0.805425,low
54,2022-10-21 11:05:17.701729,Necklow,necklowco,justbeingmelani,1662975149,0.123179,0.781875,bad
55,2022-10-21 11:05:17.701729,Necklow,necklowco,justbeingmelani,1664431802,0.122925,0.782517,bad
56,2022-10-21 11:05:17.701729,Necklow,necklowco,justbeingmelani,1662645473,0.123089,0.784493,bad
57,2022-10-21 11:05:17.701729,Necklow,necklowco,katiexfelton,1664431672,0.1083,0.4272,bad
58,2022-10-21 11:05:17.701729,Necklow,necklowco,katiexfelton,1662645591,0.0979,0.4281,bad
59,2022-10-21 11:05:17.701729,Necklow,necklowco,katiexfelton,1662974789,0.1007,0.4327,bad
60,2022-10-21 11:05:17.701729,Necklow,necklowco,lillyjbennett,1662645466,0.2099,0.7942,bad
61,2022-10-21 11:05:17.701729,Necklow,necklowco,lillyjbennett,1664431435,0.2061,0.7951,bad
62,2022-10-21 11:05:17.701729,Necklow,necklowco,lillyjbennett,1662974786,0.2073,0.7948,bad
63,2022-10-21 11:05:17.701729,Necklow,necklowco,stylishpharmacist,1662974755,0.4799,0.7773,bad
64,2022-10-21 11:05:17.701729,Necklow,necklowco,stylishpharmacist,1664431506,0.4777,0.7746,bad
65,2022-10-21 11:05:17.701729,Necklow,necklowco,stylishpharmacist,1662645931,0.4771,0.7767,bad
66,2022-10-21 11:05:17.701729,Necklow,necklowco,tasneemmahmoodd,1662645709,0.183857,0.65426,bad
67,2022-10-21 11:05:17.701729,Necklow,necklowco,tasneemmahmoodd,1662974789,0.183857,0.65426,bad
68,2022-10-21 11:05:17.701729,Necklow,necklowco,tasneemmahmoodd,1664431626,0.183857,0.65426,bad
69,2022-10-21 11:05:17.701729,Necklow,necklowco,avaireland729,1664431668,0.0781,0.4297,bad
70,2022-10-21 11:05:17.701729,Necklow,necklowco,avaireland729,1662645423,0.0792,0.4361,bad
0,2022-10-21 11:05:17.701729,Necklow,necklowco,avaireland729,1662975091,0.0736,0.4241,bad
0,2022-10-21 11:05:17.701729,Beauty Melanin,beauty_melanin_,christinadahlmusic,1664431704,0.2746,0.4222,bad
1,2022-10-21 11:05:17.701729,Beauty Melanin,beauty_melanin_,christinadahlmusic,1662645855,0.2739,0.4173,bad
2,2022-10-21 11:05:17.701729,Beauty Melanin,beauty_melanin_,christinadahlmusic,1662975306,0.2756,0.4252,bad
3,2022-10-21 11:05:17.701729,Beauty Melanin,beauty_melanin_,itsthedonjordan,1662975315,0.4636,0.7765,bad
4,2022-10-21 11:05:17.701729,Beauty Melanin,beauty_melanin_,itsthedonjordan,1662645418,0.4656,0.7702,bad
5,2022-10-21 11:05:17.701729,Beauty Melanin,beauty_melanin_,itsthedonjordan,1664432559,0.4623,0.7752,bad
6,2022-10-21 11:05:17.701729,Beauty Melanin,beauty_melanin_,meant2beaaa,1662974867,0.0068,0.0962,bad
7,2022-10-21 11:05:17.701729,Beauty Melanin,beauty_melanin_,meant2beaaa,1664432409,0.0071,0.0958,bad
