,code,name,weight,_OS_CREATED_AT,OS_MERCHANT,OS_HANDLE,INFLUENCER_HANDLE,CODE
46,white,White / Caucasian,0.437663,2022-10-21 11:05:17.701729,Necklow,necklowco,unlimitedleezy,1662645927
47,asian,Asian,0.190288,2022-10-21 11:05:17.701729,Necklow,necklowco,unlimitedleezy,1662645927
48,african_american,African American,0.173392,2022-10-21 11:05:17.701729,Necklow,necklowco,gods2lit,1662645375
49,hispanic,Hispanic,0.260194,2022-10-21 11:05:17.701729,Necklow,necklowco,gods2lit,1662645375
50,white,White / Caucasian,0.485498,2022-10-21 11:05:17.701729,Necklow,necklowco,gods2lit,1662645375
51,asian,Asian,0.080916,2022-10-21 11:05:17.701729,Necklow,necklowco,gods2lit,1662645375
52,african_american,African American,0.275048,2022-10-21 11:05:17.701729,Necklow,necklowco,gods2lit,1664431496
53,asian,Asian,0.077013,2022-10-21 11:05:17.701729,Necklow,necklowco,gods2lit,1664431496
54,hispanic,Hispanic,0.25187,2022-10-21 11:05:17.701729,Necklow,necklowco,gods2lit,1664431496
55,white,White / Caucasian,0.396069,2022-10-21 11:05:17.701729,Necklow,necklowco,gods2lit,1664431496
56,asian,Asian,0.112943,2022-10-21 11:05:17.701729,Necklow,necklowco,gods2lit,1662974788
57,white,White / Caucasian,0.389027,2022-10-21 11:05:17.701729,Necklow,necklowco,gods2lit,1662974788
58,african_american,African American,0.263534,2022-10-21 11:05:17.701729,Necklow,necklowco,gods2lit,1662974788
59,hispanic,Hispanic,0.234496,2022-10-21 11:05:17.701729,Necklow,necklowco,gods2lit,1662974788
60,white,White / Caucasian,0.529622,2022-10-21 11:05:17.701729,Necklow,necklowco,iamnancyjay,1662974754
61,asian,Asian,0.058307,2022-10-21 11:05:17.701729,Necklow,necklowco,iamnancyjay,1662974754
62,african_american,African American,0.335266,2022-10-21 11:05:17.701729,Necklow,necklowco,iamnancyjay,1662974754
63,hispanic,Hispanic,0.076805,2022-10-21 11:05:17.701729,Necklow,necklowco,iamnancyjay,1662974754
64,african_american,African American,0.373438,2022-10-21 11:05:17.701729,Necklow,necklowco,iamnancyjay,1662645746
65,white,White / Caucasian,0.442594,2022-10-21 11:05:17.701729,Necklow,necklowco,iamnancyjay,1662645746
66,asian,Asian,0.106038,2022-10-21 11:05:17.701729,Necklow,necklowco,iamnancyjay,1662645746
67,hispanic,Hispanic,0.07793,2022-10-21 11:05:17.701729,Necklow,necklowco,iamnancyjay,1662645746
68,african_american,African American,0.334102,2022-10-21 11:05:17.701729,Necklow,necklowco,iamnancyjay,1664431725
69,asian,Asian,0.130932,2022-10-21 11:05:17.701729,Necklow,necklowco,iamnancyjay,1664431725
70,hispanic,Hispanic,0.078963,2022-10-21 11:05:17.701729,Necklow,necklowco,iamnancyjay,1664431725
71,white,White / Caucasian,0.456003,2022-10-21 11:05:17.701729,Necklow,necklowco,iamnancyjay,1664431725
72,african_american,African American,0.033607,2022-10-21 11:05:17.701729,Necklow,necklowco,lynnloheide,1664431828
73,white,White / Caucasian,0.638535,2022-10-21 11:05:17.701729,Necklow,necklowco,lynnloheide,1664431828
74,asian,Asian,0.119153,2022-10-21 11:05:17.701729,Necklow,necklowco,lynnloheide,1664431828
75,hispanic,Hispanic,0.208705,2022-10-21 11:05:17.701729,Necklow,necklowco,lynnloheide,1664431828
76,white,White / Caucasian,0.618912,2022-10-21 11:05:17.701729,Necklow,necklowco,lynnloheide,1662974784
77,asian,Asian,0.127712,2022-10-21 11:05:17.701729,Necklow,necklowco,lynnloheide,1662974784
78,african_american,African American,0.039296,2022-10-21 11:05:17.701729,Necklow,necklowco,lynnloheide,1662974784
79,hispanic,Hispanic,0.214079,2022-10-21 11:05:17.701729,Necklow,necklowco,lynnloheide,1662974784
80,white,White / Caucasian,0.634408,2022-10-21 11:05:17.701729,Necklow,necklowco,lynnloheide,1662645465
81,african_american,African American,0.034719,2022-10-21 11:05:17.701729,Necklow,necklowco,lynnloheide,1662645465
82,hispanic,Hispanic,0.214092,2022-10-21 11:05:17.701729,Necklow,necklowco,lynnloheide,1662645465
83,asian,Asian,0.116781,2022-10-21 11:05:17.701729,Necklow,necklowco,lynnloheide,1662645465
84,white,White / Caucasian,0.646731,2022-10-21 11:05:17.701729,Necklow,necklowco,sonabonds,1664431668
85,hispanic,Hispanic,0.06701,2022-10-21 11:05:17.701729,Necklow,necklowco,sonabonds,1664431668
86,asian,Asian,0.190839,2022-10-21 11:05:17.701729,Necklow,necklowco,sonabonds,1664431668
87,african_american,African American,0.095419,2022-10-21 11:05:17.701729,Necklow,necklowco,sonabonds,1664431668
88,asian,Asian,0.190909,2022-10-21 11:05:17.701729,Necklow,necklowco,sonabonds,1662974763
89,african_american,African American,0.095455,2022-10-21 11:05:17.701729,Necklow,necklowco,sonabonds,1662974763
90,white,White / Caucasian,0.64697,2022-10-21 11:05:17.701729,Necklow,necklowco,sonabonds,1662974763
91,hispanic,Hispanic,0.066667,2022-10-21 11:05:17.701729,Necklow,necklowco,sonabonds,1662974763
92,african_american,African American,0.095457,2022-10-21 11:05:17.701729,Necklow,necklowco,sonabonds,1662646268
93,white,White / Caucasian,0.646985,2022-10-21 11:05:17.701729,Necklow,necklowco,sonabonds,1662646268
94,asian,Asian,0.190913,2022-10-21 11:05:17.701729,Necklow,necklowco,sonabonds,1662646268
95,hispanic,Hispanic,0.066645,2022-10-21 11:05:17.701729,Necklow,necklowco,sonabonds,1662646268
96,african_american,African American,0.086957,2022-10-21 11:05:17.701729,Necklow,necklowco,patrianasonia,1662646339
97,white,White / Caucasian,0.633547,2022-10-21 11:05:17.701729,Necklow,necklowco,patrianasonia,1662646339
98,asian,Asian,0.153211,2022-10-21 11:05:17.701729,Necklow,necklowco,patrianasonia,1662646339
99,hispanic,Hispanic,0.126284,2022-10-21 11:05:17.701729,Necklow,necklowco,patrianasonia,1662646339
100,african_american,African American,0.093483,2022-10-21 11:05:17.701729,Necklow,necklowco,patrianasonia,1664431880
101,asian,Asian,0.152972,2022-10-21 11:05:17.701729,Necklow,necklowco,patrianasonia,1664431880
102,hispanic,Hispanic,0.12466,2022-10-21 11:05:17.701729,Necklow,necklowco,patrianasonia,1664431880
103,white,White / Caucasian,0.628885,2022-10-21 11:05:17.701729,Necklow,necklowco,patrianasonia,1664431880
104,asian,Asian,0.153137,2022-10-21 11:05:17.701729,Necklow,necklowco,patrianasonia,1662974824
105,white,White / Caucasian,0.641519,2022-10-21 11:05:17.701729,Necklow,necklowco,patrianasonia,1662974824
106,african_american,African American,0.078638,2022-10-21 11:05:17.701729,Necklow,necklowco,patrianasonia,1662974824
107,hispanic,Hispanic,0.126706,2022-10-21 11:05:17.701729,Necklow,necklowco,patrianasonia,1662974824
108,white,White / Caucasian,0.484886,2022-10-21 11:05:17.701729,Necklow,necklowco,big1500_,1664431675
109,hispanic,Hispanic,0.099497,2022-10-21 11:05:17.701729,Necklow,necklowco,big1500_,1664431675
110,asian,Asian,0.161629,2022-10-21 11:05:17.701729,Necklow,necklowco,big1500_,1664431675
111,african_american,African American,0.253988,2022-10-21 11:05:17.701729,Necklow,necklowco,big1500_,1664431675
112,white,White / Caucasian,0.484886,2022-10-21 11:05:17.701729,Necklow,necklowco,big1500_,1662975183
113,asian,Asian,0.161629,2022-10-21 11:05:17.701729,Necklow,necklowco,big1500_,1662975183
114,african_american,African American,0.253988,2022-10-21 11:05:17.701729,Necklow,necklowco,big1500_,1662975183
115,hispanic,Hispanic,0.099497,2022-10-21 11:05:17.701729,Necklow,necklowco,big1500_,1662975183
116,white,White / Caucasian,0.484886,2022-10-21 11:05:17.701729,Necklow,necklowco,big1500_,1662645393
117,african_american,African American,0.253988,2022-10-21 11:05:17.701729,Necklow,necklowco,big1500_,1662645393
118,hispanic,Hispanic,0.099497,2022-10-21 11:05:17.701729,Necklow,necklowco,big1500_,1662645393
119,asian,Asian,0.161629,2022-10-21 11:05:17.701729,Necklow,necklowco,big1500_,1662645393
120,asian,Asian,0.083942,2022-10-21 11:05:17.701729,Necklow,necklowco,e_l_d,1662974754
121,white,White / Caucasian,0.763105,2022-10-21 11:05:17.701729,Necklow,necklowco,e_l_d,1662974754
122,african_american,African American,0.022893,2022-10-21 11:05:17.701729,Necklow,necklowco,e_l_d,1662974754
123,hispanic,Hispanic,0.13006,2022-10-21 11:05:17.701729,Necklow,necklowco,e_l_d,1662974754
